Review,Classification
 تطبيق فاشل يطلب منك تاريخ الميلاد واذا كان تاريخ الميلاد قبل خمسين سنة تجلس ترجع التاريخ الى الخلف يبغي لك اكثر من ساعة ........الخ ,negative
 ماهو وظيفته ليس مكتوب فاشل كل برامج فاشلة انا عندي عطس يقولك هل انت مخالط واحد عنده كورونا عجل ويش الفايدة وانا ويش دراني اللي قاعد تحتي ما عنده الله يغربل شركاتكم ويغربل اللي سواه اهبل قال ويش وزارة يقلبوها شركات علشان زيادة البلاء جاكم كورونا وشركاتكم مو قادرة عليه نرجو اعطاء الوزارة لمنظمة الصحة العالمية وليس لماكنزي. نرجو تغيير الوزير هذي اكثر من 4 سنين ما تغير لا يعقل هذا ,negative
 فاشل يبي يعزلني غصب ,negative
 ماهو راضي يتثبت .كيف الحل ,negative
 انا بقالى ٤ ساعات بحاول انزل التطبيق بيقولى فى انتظار التطبيق يريت حد يفدنى لان كدا ٨ ساعات هتعدى من غير ما انزل التطبيق ,negative
 يطلع لي صفحه بيضاء فيها عنوان استبيان يومي وكلمه إرسال فقط مو قادره ادخل ع حساب الايام ,neutral
 مش راضى يسجل الدخول اكتب البيانات يقولى المستخدم موجود ومش راضى يفتح ,neutral
 تطبيق سيئ اكثر من 5 مرات اقوم بتحميله ولم يعمل ويقف عند مرحلة ارسال رمز التحقق واريد تحميله للاهميه نظرا لانى عدت من الخارج اليوم ولا اعرف كيف اتصرف وانا موقع على تعهد بتحميل البرنامج ,negative
 يطلب مني تعبئة الاستبيان ولا يظهر لي استبيان... تم حذف البرنامج ,neutral
 يوجد مشكلة التطبيق يفتح على صفحة الاستبيان اليومي ولكن صفحة فراغه مافيها معلومات ولا تسمح بالانتقال إلى خطوة الثانيه ,neutral
 والله انها طقطقة ولايستاهل ,negative
 السلام عليكم هل يوجد مشكله في التطبيق.؟؟ ,neutral
 موراضي يفتح ادخل فجا يطلعني.. ابي اعرف نتيجة فحصي ,negative
 اريد التسجيل يرسلي حدث خطا ما الحل مع العلم اني وصلت اليوم عبر المطار وكتبت تعهد بارسال الموقع عبر البرنامج الان البرنامج لا يعمل معي ,neutral
 جالس احمل التطبيق ماهو راضي يتحمل يلف ع الفاضي صار ساعه وماهوراضي يتحمل ,negative
 معلق على الاستبيان ,negative
 تطبيق فااااشل لا يستجيب لاي شي ويتصل بشكل يومي رقم رد الي من الواحده صباحا اتصالات الي الفجر ,negative
 ما يفتح معي يطلع بس صفحة استبيان ومافيها شي ,neutral
 تحت التجربة ,negative
 معلق ويحتاج الى تطوير ,negative
 بنتي تحليل كورونا ايجابي من امس وما حدا تواصل معنا كيفية التواصل لو سمحت اروح بها تاني مستشفى الملك خالد ؟؟؟؟؟ افيدوني بالله عليكم ,neutral
 لا يوجد استيبان ,negative
 سيئ معلق على الاستبيان ومايعطيك اي خيار ,negative
 التطبيق يفتح مباشرة على كلمة ارسال .. ,neutral
 الان رجعت من السفر وفتحته يقول انتهت فترة العزل وانا في اليووم الأول من رجوعي من السفر إذا فيه طريقه لتعديل تاريخ العزل افيدونا حتى دخلت ع صحتي وحجزت موعد للفحص حسب ما تعهدنا به عند دخولنا المملكه ولكن لا يظهر عند المواعيد لا أعرف كيف باستطاعتي إدخال تاريخ العزل ,neutral
 خربان ما يشتغل، ليش كذا؟ ,negative
 السلام عليكم ورحمة الله وبركاته . قمت بادخال جميع البيانات المطلوبه حتي وصلت الي اخر بيان مطلوب وقمت بالضغط علي التالي وفي الاخر يتم ارسال رسالة عذرا حدث خطأ ما ,neutral
 تجربتي سيئة مع التطبيق وتقدمت ببلاغ لحل المشكلة ولكن دون جدوى ,negative
 للاسف فاشل ,negative
 معلق البرنامج لا يعمل ,negative
 يحتاج الى الكثير من التطوير البرنامج يعلق كثير ع صفحة الاستبيان ,negative
 الصفحه مغلقه ع الاستبيان لماذا ؟ واريد تغيير موقع العزل المنزلي كيف ؟ ,neutral
لا بأس به,neutral
 فيه مشكله في البرنامج معلق على الاستبيان . حذفته ونصبته مره ثانيه وبرضوا معلق على الاستبيان ,negative
 معلق على الاستبيان 😡😡😡😡😡😡😡😡😡😡😡😡😡😡 ,neutral
 لايعمل علي الاندرويد ,negative
 صعوبة ف التسجيل يقول البيانات غلط ,negative
 السلام عليكم ورحمه الله لو سمحتو ياجماعه انا حملت البرنامج واول مره أحمله قلت اشوف أقرب مركز للفحص واطمن ع نفسي مع العلم الحمدلله ما اشكو من اي شي سجلت قال لي حجز منزلي ١٤ يوم والحل افيدونا افدكم الله. وشكرا.. ,neutral
 مافيه شي مميز ولايقدم اي ارشادات ولافيه تسجيل خروج ,neutral
 عند تسجيل الدخول يعطيني خطاء في البيانات وعند التسجيل من جديد يعطيني اله يه مسجله من قبل هل يوجد دعم فني للتطبيق ,neutral
 معلق على ارسال الاستبيان اليومي ,neutral
 عندي اشتراك بالتطبيق لكن ما يفتح ورقم الاثبات والجوال صحيح ويعطيني لايوجد اشراك برقم الهويه! ولما ادخل مشترك جديد يعطيني يوجد اشتراك على رقم الهويه؟ ,neutral
 فين الاستبيانات اذا التطبيق مو شغال كيف نحط التقييمات اللازمة ,neutral
 التطبيق مخبط يطلب اسبيان ولا تقدر تكتب اي ملاحظة فقط ارسل ,neutral
 التطبيق لايعمل عند انشاء حساب يرفض الدخول بسبب أن ه خطأ فى رقم الهويه أو تاريخ الميلاد!! ,neutral
 سيء لم يفتح.... تعليق ,negative
 مو حلو مابي ادخل الهويه ومدري وش وش دا يع بمسحو ,negative
 سيئ جدا جدا جدا ,negative
 تبديل التاريخ من ميلادى إلى هجرة مش موجود ,negative
 سجلت في التطبيق طلع لي حجر ١٤ يوم مع اني لا اعاني من اي شي ارجو الإفادة كيفية التعديل ,negative
 البرنامج يعلق في حالة الاستبيان للمصاب . الرجاء إصلاح الخلل ,negative
 التطبيق لا يعمل ,negative
 عدم التفاعل و عدم الاجابه على الرسائل برنامج سئ ,negative
 التطبيق مخبط يطلب استبيان يومي ويعيد يطلب ولا يعطيك فرصة تكتب وا تعود فقط ارسل تضغط على ارسال يعيد نفس الكلام ارسل ورا اليوم وكل الموضوض ارسل في الرسل بس برنامج معلق مخبط مستفز ,negative
 حملة البرنامج وسجلت البيانات وانتظر تجينا رساله وماتوصل الرساله وحاولة عدة مرات ماتجينا رسالة التاكيد ,neutral
 ادخلت البيانات حجر صحي بالغلط واحاول التعديل لعزل منزلي مافي طريقه للتعديل .. الاستبيان العندي تبع حجر صحي فقط .. حذفت التطبيق ونزلت من جديد بجيني المستخدم موجود مسبقا ..ايش الحل ؟؟ علما انني دخلت المملكه قبل ٦ ايام ,neutral
 البرنامج سيء جدا ومش راضي يتحدث معي ولا احد بيتابع معنا فيه ولا شيء مفيش غير تجيك رساله نرجوا الرجوع لمكان عزلك والواحد ما يكون تحرك من مكانه. ,negative
 اكتر من 24ساعه ومو راضي يرسل الرمز فعلا مشكله عندي لاني لسه واصل من السفر واتمني الحل ,neutral
 عند تفعيل الموقع يتم إيقاف التطبيق ,neutral
 رافض يرسل رمز التحقق ,neutral
 اشغلتونا بالاستبيان اليومي ولايظهر ,negative
 حملت التطبيق اسجل اسمي يكتب لي هذه الهوية مسجلة سابقا اسجل دخول يكتب لي لا يوجد هذا المستخدم ,neutral
 لايمكتني تفعيله كل ادخلت رقم الهوية يذكر انه خطأ ,negative
 ارجو المساعدة كل ما احمل التطبيق ما يرسل رمز التحقيق ,neutral
 برنامج سئ من البارح ما أرسلوا لي رمز التحقق أدخلت الاستبيان والهوية أحاول من البارح ما وصلني رمز التحقق ,negative
 البرنامج عندى مش شغال الاشعارات بتيجى. ومش بتفتح فى البرنامح. حتى الاستبيان اليومى حذفته وحملته اكتر من خمس مرات وبرجه الاستبيان اليومى. مش بيظهر. ,negative
 من فضلك ايه التطبيق مش عايز يبعت ليا رساله التأكيد انا مش عارف اسجل عليه ارجو المساعده ,neutral
 الاستبيان اليومي مو راضي يطلعلي حذفت التطبيق وحملته من جديد وبرضو نفس المشكله ايش الحل مع الاستبيان؟ الصحه كل ١٠ دقايق تتصل تطلب تحديث الاستبيان اليومي ,neutral
 مو زين كذب ,negative
 التطبيق مش راضي يحمل ,negative
 عندي مشكله نزلت البرنامج والحين يفتح الصفحه الرئيسيه فقط تجي اشعارات واحاول قراءة الاشعارات ولا يتم فتحها الصفحه الرئيسيه يوجد بها إرشادات فقط ومش عارف اعمل استبيان ,negative
ليس الأفضل,neutral
 السلام عليكم انا عندي مشكله في تعبيت استبيان حالتي الصحية ,negative
 برنامج خربان ما يشتغل حطني على طول حجر منزلي ,negative
 شوفو لنا حل في تحديث الحالة ويتصل كل خمس دقايق عبي الاستبيان تدخل التطبيق ما في اي استبيان او تحديث ,neutral
 جيد ,positive
 وزراة الصحة للأسف الشديد لايمكن تسوي فحص الا بموعد وهذا يدل على ضعف الجاهزية والقدرات ,negative
 ازعاج كل شوي مرسلين لي فعل موقعك والموقع مفعل من البداية ,negative
 ماشي حاله ,neutral
 جيد ,positive
 تطبيق سيئ ولا يخدم المجتمع ورفض تسجيلي كا مواطن سعودي وقبل تسجيلي كا مقيم ارجنتيني ,negative
 لا يقبل تسجيل مستخدم جديد يقول رقم الهويه خطاء وانا ادخل الرقم صحيح ومتاكد منه ,neutral
 البرنامج كأنه متوقف لا حياة فيه الرسائل تأتي ناقصه وتحولك للتطبيق وتفتح التطبيق لا تجد الرساله ولا يوجد خروج من البرنامج، برامج الصحة كلها ممتازه إلا هذا البرنامج السيء ,negative
 تضييق ,negative
 سلام عليكم انا نزلت التطبيق من مصر وبدأ الحجر من وانا في مصر، ولما جيت المملكه اليوم وبفعل الحجر كان خلص ايام الحجر، مسحته ونزلته تاني نزل بنفس البيانات ومفهوش sign out ,negative
 برنانج سيئ ثلاث ساعات أحاول التسجيل عليه ولا يقبل رقم الهوية وتظهر رسالة هناك خطأ ما طيب أفيدونا ما هو الخطأ ,negative
 التطبيق لا يعمل يعطيني رسالة خطأ في رقم الهوية أو تاريخ الميلاد ,negative
 البرنامج فيه خلل توني أبدأ التسجيل على طول سجلني مريض! والجنسية ارجنتنيني!!!! واعزب!!! الاخوة في الـ IT هذا ثالث برنامج لكم لا يهلوا من أخطاء لا تتناسب ابدا وجهود الوزارة المقدمة وخاصة بعد جائحة كورونا والتي نشعد بها لله تقبلوا تحياتى ,negative
 منذ وصلت من مصر إلى المملكة وأنا أحاول التسجيل في التطبيق ولكن في الخطوة الثانية يعطيني خطأ في رقم الهوية أو تاريخ الميلاد برغم أني أدخلت البيانات صحيحة فهل يوجد دعم فني للتطبيق يمكن التواصل معهم ,neutral
 للأسف سجلت للإطلاع على التطبيق ومزاياه لكن بدأ يتعامل معي على أني مصاب ولا يوجد أي طريقة لتعديل المعلومات أو التراجع ,negative
 يحسب لك من تاريخ تسجيلك البرنامج وليس من تاريخ الاصابه ,neutral
 جيد لحد ما ,positive
 التطبيق فااشل ويحتاج له شغل .. عند التسجيل يعطيني خطأ في رقم الجوال او تاريخ الميلاد مع انه صحيح اعيد عملية التسجيل يعطيني نفس الخطأ!! ,negative
 نزلت البرنامج عشان افحص واتطمن لكن البرنامج عطاني الجنسيه غلط واعطني حجر لمدة أسبوعين مع اني لايوجد لدي اعراض الكارونا وانا مستغرب ,negative
 فيه مشكله بالجنسية .... ههههههه معطيني جنسيه الارجنتين ,negative
 سيء جدا ، انت مصاب ولازلت في فترة العزل باقي لك اسبوع فجأه يكتب لك انت سليم ، خيييييييييير هذا غير الآلية الفاشلة ,negative
 تجربه سيئة جدا ,negative
 سيء دخلت لتحديد موعد وجدت انة يوجد حجر على الرغم انه لا يوجد اي اعراض او تمت مخالطة اي مصاب فحذفت البرنامج ,negative
 اش الهرجه البرنامج لا يقبل تحديث مع العلم انه هوا طالب تحديث وبعدين الوزاره عملت كذا برنامج للفايرس هذا شي للفحص وشي للمتابعه وشي للاستشارة طبيب ارسو على بر وخلوه برنامج واحد علشان نفهم سالفه ورقم طواري هذا لا اجد انه فعال ومتجاوب 937 جدا سي ,negative
 البرنامج لا ينزل علي الهاتف المحمول ,negative
 جامد جدا ,positive
 لا يقوم بتعديل البيانات وعند التواصل لايتم اى جديد اضطر للاتصال بلا جدوى للاسف ,negative
 سئ جدا لا يوجد به خانة تسجيل خروج دخلته من أجل حجز موعد وجد نفسي يعد لي حجر ,negative
 نزلت التطبيق ولكن للأسف لم يتم اكتمال بياناتي في خانة رقم الهوية لا تقبل إنزال الأرقام والله حاجه غريبة ,negative
 بصراحة جدا بسيط و لا يرقاء، في مكانت الصحة ولاسف ,negative
 حطيت مواليدي ويقول خطاء وش المشكلة ,negative
 سئ جدا بالاضافه لماذكر من سلبيات.. فيه مشكلة حاولت اضيف مهالط الا انه باخر شي بالضغط على اضافهتظهر رساله عذرا يوجد خطاء... كررت المحاوله للتسف بدون فائده ,negative
 ماطلعو النيجه ومتأخرين ,negative
 يطلب تحديث ولكن غير متوفر ,neutral
 سيء ,negative
 غير جيد ,negative
 ضعيف جدا . لايحدث ,negative
 شياء جدا اسجل عامل للفحص ويقول انت خرجت من منطقة العزل هههه ,negative
 برنامج سيئ و فاشل محتاج مزيد من التطوير ,negative
 عمل التطبيق لمدة يوم واحد فقط... وبعد ذلك توقف يعطي رسالة ان هناك تحديث اخر علي المتجر الإلكتروني وعندما اذهب للتحديث يرفض التحديث؟؟؟ ,neutral
 سيئه ,negative
 لا يسمح الدخول في التطبيق التطبيق يطلب تحديث ولا يوجد تحديث ,neutral
 لايستحق ,negative
 مايفتح معي ,negative
 سيء جداً جداً ,negative
 سيئ فيه مشكله تصل تحديث التطبيق وعند الذهاب لموقع التطبيقات لا يحدث البرنامج تم حذفه لحين التعديل ,negative
 وحش اوي,negative
 فيه مشكله محدث تطبيق اخر شي و يقول لازم تحدثه ,negative
 سيء  للغايه,negative
 كل شوي يقولي في تحديث بس مو راضي يحدث ,negative
 كل ما ادخل البرنامج يقول حدث التطبيق ونا محدثه اصلا ,neutral
 سيئ جدا كلما ادخل التطبيق يقول لي لازم تحديث وانا دوبي حملته 🌚 ,negative
 بشع جدا ,negative
 السلام عليكم ورحمة الله وبركاته،،، يوجد مشكله في التطبيق عند فتح التطبيق تاتي رساله بانه يوجد تحديث للبرنامج عن طريق سوق بلاي وعند الدخول للسوق لا اجد تحديث للتطبيق ويطلعني التطبيق تلقائياً نرجو حل المشكله. وشكراً ,neutral
 لم يفتح ,negative
 برنامج سيى تحمله يطلب من تحديث ولا تستطع الدخول على صفحة التسجيل ,neutral
 للاسف يطلب التحديث وحذفت التطبيق وأعدت تثبيته ولا زال يطلب التحديث ,negative
 البرنامج يطلب تحديث كل مره ولا يفتح ,neutral
 غير جيد ولايعطيك شي معلق يقول حدث ولا في تحديث ,negative
 محدث اخر تحديث وش احدث بعد؟ ,neutral
 مو راضي يشتغل معايه يقول فيه تحديث و اروح قوقل بلاي يطلع مافي اي تحديث ,negative
 مرضى يفتح معي ,negative
 سيء جدا يطلب التحديث وبعد التحديث يرجع لنقطه البدايه وهكذا ندور في دائرة مغلقه .. ,negative
 البرنامج لايعمل ,negative
 التطبيق يحتاج تعديلات الرجاء إصلاح المشاكل ,negative
 كل ما ادخله يقول حدث ويوم اخش مافي تحديث ,neutral
بشع,negative
 مايفتح معي ,negative
 ادخل على التطبيق يقول حدث اروح على المتجر لايوجد تحديث ،، تورطنا مع اعمالنا ولايجيك رسائل إنك مصاب ولايجيك إجازه والحل اذا الواحد يبغى يطور ويجيب برامج سيئه ,negative
 لا يعمل ,negative
 محد درا عنك افتح التطبيق يقول يوجد تحديث جديد يرجعني للمتجر افتح عن طريق المتجر يقولي يوجد تحديث جديد اذهب الي المتجر خسارة فيك حتي النجمه وتتصل علي ٩٣٧ يقولك نزل برنامج صحتي او تطمن وكل واحد اصدع من الثاني يقولك لايوجد معلومات مدخله عز الله راحت صحتنا 🤒🤒 ,negative
 الطبيك سيئ ويطلب تحديث ولا يوجد تحديث في المتجر ,negative
 ابو كلب ما يفتح يقول حدث وما يفتح شي ,negative
 الان يطلب مني التحديث ولا يحدث في مشكلة بالتطبيق اليوم ,neutral
 ♦️سبحان الله وبحمدك ♦️سبحان الله العظيم ♦️أستغفر الله العظيم واتوب اليه ♦️لاحول ولا قوة الا بالله ♦️اللهم صل وسلم على نبينا محمد ♦️لا اله الا الله وحده لا شريك له له الملك وله الحمد وهو على كل شيء قدير ♦️لا اله إلا انت سبحانك اني كنت من الظالمين. ,neutral
 جميل ,positive
 فيه مشكلة في التطبيق لما افتحه يقول لازم من التحديث وإذا بغيت أحدث يطلع من الصفحة ,negative
 كان شغال اول ما حدثته كل ما افتحه يعطينا شاشه انه في تطبيق احدث في المتجر ومايفتح معي ,negative
 حدثت التطبيق وللحين اذا جيت ادخل ع التطبيق يقولي يوجد تحديث وش الحل ,neutral
 ضعيف جدا ,negative
 ليش مايفتح التطبيق بعد ماضغط على تسجيل أسوء تطبيق ماقد شفت مثله ,negative
 زي البلا ,negative
 التطبيق طالب تحديث ولا يشتغل ووقف لا يفتح ويطلب السماح للوصول للموقع الجغرافى رغم انه شغال ,negative
 لاتفتح ,negative
 لا يستجيب ,negative
 برنامج كثير تعليقه للاسف واذا ارسلت تحتاج مساعده بمسج محد يرد عليك ويطلب تحديث وهو محدث لا يفتح التطبيق ... ,negative
 مشكله في التطبيق .يطلب تحديث ومافي تحديثات ,negative
 لا يعمل يخرجني من النظام ,negative
 مقرف اوي,negative
 يتطلب مني تحديث التطبيق وانا محدثه من المتجر ولايوجد تحديث ,neutral
 تطبيق سئ احاول اسجل يرجعني عالمتجر مايفتح ,negative
 مو شغال ,negative
 التطبيق معلق عند التشغيل لا يسمح بالدخول ارجو من القائمين على التقنية اصلاح الخلل وقرائة الملاحظات ,negative
 التطبيق لا يفتح و يطالبني بالتحديث مع أني محدثه لآخر اصدار ,neutral
 تطبيق مقرف ,negative
 برنامج مش حلو خالص 👎 ,negative
 قمت الفشل ,negative
 خربان بيطلب تحديث و هو ما في تحديث على app store ,negative
 تمام ,negative
 اسوأ برنامج مر عليه في حياتي قال ايش اذهب الا المتجر وحدث البرنامج اساسا ماله اصدار جديد معفن ,negative
 تطبيق سيء جدا. وبدون اي فائده. لا يعمل ابدا ,negative
 لا يفتح ويطالب بتحديث التطبيق وفي المتجر لا يوجد تحديث ؟؟؟؟؟؟ ,neutral
 😎😎😍😍😍😍😎😎😎😎😋😎😋😋😋😋😋😋جمييل ,positive
 فيه مشكلة التحديث كل ما ادخل على التطبيق يطلع لي رسالة وجود تحديث لذلك لم اتمكن من الدخول إلى التطبيق ,negative
 التطبيق لا يعمل فيه مشكله ارجو الحل بسرعه علشان نعرف بنتائج الفحص ,negative
 سيئ جدا ,negative
 يوجد مشكله في التطبيق عند تحميل التطبيق يرجع يحولك يقولك يوجد تحديث تذهب إلى التحديث لايوجد ,negative
 التطبيق لا يعمل نرجو تحديث معلومات التطبيق حتى يستفيد منه الجميع والله ولي التوفيق ,neutral
 لا يعمل سيى ,negative
 كل ما ادخل على التطبيق يطلب التحديث مع انه بالفعل محدث ,neutral
 اضافة رمز خروووووج ......انا سليم ليه بيحدد مدة حاجة غريبة...اتا فقط بقوم بالتسجيل.،😬 ,neutral
 هناك مشكلة بعد تحميل وفتح البرنامج تظهر رساله في البرنامج بأنه هناك تحديث جديد. ,neutral
 موراضي يحدث البرنامج ..حاولت كذا مره بدون فائده .. وكل شوي دازيلي مسج حدث البرنامج موراضي يتحدث يطلع من الصفحه .. وكل شوي مرسلين لي إلتزم بالحجر وحدد موقعك .. وانا ملتزمه بالحجر ومحدده موقعي ,neutral
 مش راضي يفتح معايا,negative
 جيد ,positive
